已有数据: 14 条

============================================================
Round 1/6 | 并行生成 11 组查询...
  Prompt 5: 25 条
  Prompt 1: 25 条
  Prompt 8: 25 条
  Prompt 6: 25 条
  Prompt 7: 25 条
  Prompt 4: 25 条
  Prompt 2: 25 条
  Prompt 3: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 1386 条
  ✓ [15] rag_query            | 想申请开通凌霄管理后台的查看权限，需要直属领导审批还是直接找IT？
  ✓ [383] direct_answer        | 我在通义千问项目组的年假账户里还剩几天可用额度？
  ✓ [384] rag_query            | 海外出差去新加坡，钉钉审批链路和国内一样吗？
  ✓ [385] multi_intent_split   | 我想报名下月十五号的产品架构师线上培训，这笔一千五百元的报名费是走部门...
  ✓ [386] multi_intent_split   | 我今天要去滨江区的客户现场做系统联调，外勤打卡是不是只能在钉钉上提交定...
  ✓ [387] rag_query            | 下周三报到的话，座位是行政提前排好还是需要自己去选区？
  ✓ [388] rag_query            | 差旅费报销的最长有效期是多久？
  ✓ [389] escalate             | 就实习生周杰申请开通内部代码托管平台通义Git仓库的合并权限一事，因未...
  ✓ [390] multi_intent_split   | 怎么我的云效权限申请还卡在审批节点，这流程效率是不是太让人无语了？顺便...
  ✓ [391] rag_query            | 钉钉打卡机默认的早班签到截止时间是上午九点吗？
  ✓ [392] rag_query            | 核心数据平台的读写访问流程卡在二级审批了，一般政策规定多久能推完？
  ✓ [393] rag_query            | 请问因公出差产生的行李超重费是否可以凭机场开具的发票实报实销？
  ✓ [394] rag_query            | 林浩说夸克企业版的存储空间不够了，扩容申请已经卡在总监审批三天了，周末...
  ✓ [395] rag_query            | 请问新员工如何正确配置内部企业邮箱的客户端收发设置？
  ✓ [396] direct_answer        | 3楼东侧测试区的内部WiFi密码是多少？
  ✓ [397] rag_query            | 钉钉系统默认设置的午休打卡最晚结束时间是几点？
  ✓ [398] multi_intent_split   | 竞业协议里限制的“关联企业”名单到底包不包括阿里生态里的合资公司，这边...
  ✓ [399] rag_query            | 实习生转正入职需要额外准备体检报告原件还是直接上传到内部HR系统就行？
  ✓ [400] rag_query            | 出差住酒店超过五百块的部分，还能在财务系统里正常提单子报销吗？
  ✓ [401] escalate             | 十万火急，明天就是房贷扣款日，但我发现通义薪资系统本月把我的专项附加扣...
  ✓ [402] escalate             | 紧急！账号锁定导致无法登录云效平台，当前构建流水线阻塞需立即恢复。
  ✓ [403] rag_query            | 我的劳动合同到十一月二十号就到期了，请问续签协议是在钉钉上签电子合同还...
  ✓ [404] multi_intent_split   | 明天下午三点在B栋203会议室的跨部门复盘会我临时要见客户可能迟到，能...
  ✓ [405] rag_query            | 我的三个月试用期到十月十五号就结束了，转正后公积金的缴纳比例会按全额工...
  ✓ [406] rag_query            | 请问开通万象BI系统的数据查看权限需要主管审批还是走自助流程？
  ✓ [407] direct_answer        | 报销单被财务打回要求补充打车明细，我已经把行程单导入了内部费用管控系统...
  ✓ [408] multi_intent_split   | 年假折算工资是按基本工资算还是包含绩效，财务那边说法不一到底听谁的？另...
  ✓ [409] rag_query            | 报销发票类型
  ✓ [410] rag_query            | 去深圳出差住协议酒店怎么预订？
  ✓ [411] escalate             | 紧急权限申请，产品发布会直播倒计时三小时但钉钉推流控制台的管理员权限因...
  ✓ [412] rag_query            | 试用期考核未达标时，公司是否有明确的延长考察期或提前转正的判定标准？
  ✓ [413] multi_intent_split   | 新员工手册里说的弹性工作制到底怎么执行，难道每天必须准点打卡吗？还有入...
  ✓ [414] direct_answer        | 4楼研发区的无线打印机连接密码是多少？
  ✓ [415] direct_answer        | 我是校招进来的新同事，报到地址是不是改到杭州滨江园区了，前台接待电话多...
  ✓ [416] rag_query            | 新入职的算法工程师工位通常会划分在几层？
  ✓ [417] direct_answer        | 会议室里的投屏WiFi密码和日常办公的一样吗？
  ✓ [418] escalate             | 我对11月薪资发放结果极其不满，明明合同写明外派补贴每月两千，这个月发...
  ✓ [419] rag_query            | 下个月初想申请两天调休回老家，最晚要提前几天在考勤系统里报备？
  ✓ [420] rag_query            | 昨天漏打卡的补卡申请入口在钉钉工作台哪个模块可以找到？
  ✓ [421] direct_answer        | 之前用通义千问内部版生成的项目代码，现在要合入云效主干，但提示权限不足...
  ✓ [422] escalate             | 会议室网络故障
  ✓ [423] rag_query            | 6月1号下午请两小时事假去办业务，直接走钉钉极速审批流程对吗？
  ✓ [424] rag_query            | 早上九点零三分打卡提示网络异常，这种特殊情况怎么算考勤记录？
  ✓ [425] rag_query            | 紧急！今晚飞杭州处理线上故障，但直属主管休假了，临时出差审批在钉钉上该...
  ✓ [426] rag_query            | 发票开错了咋退回重开财务说今天下班前必须交急！
  ✓ [427] rag_query            | 财务系统的付款复核权限怎么加？钉钉审批单里好像找不到对应的业务入口。
  ✓ [428] escalate             | 最近使用云效平台进行代码提交时系统响应极慢，经常请求超时。
  ✓ [429] rag_query            | 我和两个同事拼车去南京，车辆油费和过路费怎么在钉钉审批单里填报？需要所...
  ✓ [430] escalate             | 我是供应链中心的赵强，因11月22日突发暴雨导致地铁停运，我虽按时到达...
  ✓ [431] rag_query            | 钉钉系统设置的晚班最迟下班打卡时间是几点？
  ✓ [432] escalate             | 紧急申诉，海外出差产生的签证加急费因币种转换误差被通义算账系统判定为虚...
  ✓ [433] direct_answer        | 工牌门禁刷不进去找行政还是IT啊急用！
  ✓ [434] escalate             | 我是数据中心运维组的刘洋，本次申请的设备采购尾款报销被易报系统自动拦截...
  ✓ [435] rag_query            | 钉钉考勤显示我上周加了20小时，这些时长能直接换成年假吗？
  ✓ [436] rag_query            | C座8楼市场部的员工固定工位编号前缀是什么？
  ✓ [437] rag_query            | 报销款被退回到我的钉钉钱包了，怎么重新发起申诉流程？
  ✓ [438] rag_query            | 财务部的固定工位是统一安排在5楼吗？
  ✓ [439] rag_query            | 上周提交的健康体检预约因为系统排期冲突被自动取消了，现在想改到下个月第...
  ✓ [440] rag_query            | 刚签合同不久，想问下五险一金的公积金比例是统一按百分之十二交的吗？
  ✓ [441] multi_intent_split   | 我下个月想请5天年假去云南旅游，系统显示余额只有3.5天，这差额能折算...
  ✓ [442] rag_query            | 请问如何申请云效平台的代码仓库提交权限以便进行日常迭代？
  ✓ [443] direct_answer        | 办公电脑一直连不上内网且重启无效，麻烦提供一下IT技术支持的快速响应链...
  ✓ [444] multi_intent_split   | 哺乳期女员工年假能不能自动顺延到产假结束，政策文件到底在哪查？另外走流...
  ✓ [445] rag_query            | 4月20号晚上七点到十点申请了三小时加班，审批一直流转中怎么催办？
  ✓ [446] rag_query            | 第一次报销不知道贴票规范，请问电子发票和纸质发票的额度上限是一样的吗？
  ✓ [447] multi_intent_split   | 我下周三要去上海参加行业峰会，请问阿里商旅上订高铁票的审批单怎么走，还...
  ✓ [448] direct_answer        | 新人入职培训链接找不着了通义千问里能直接搜到操作手册么？
  ✓ [449] multi_intent_split   | 申请个生产库的只读权限怎么比考驾照还麻烦，就不能自动化审批吗？顺便问下...
  ✓ [450] multi_intent_split   | 申请测试服务器的Root权限怎么要三级审批，流程这么长难道不怕耽误项目...
  ✓ [451] rag_query            | 邮箱客户端提示证书错误导致无法接收内部通知邮件，该如何重新配置？
  ✓ [452] rag_query            | 请问如何申请数据方舟平台的核心业务数据查看权限？
  ✓ [453] rag_query            | 去年累积的年假过期清零规则是什么，能折现成现金发放吗？
  ✓ [454] rag_query            | 报销发票金额对不上系统死活不让提交咋整啊急！
  ✓ [455] multi_intent_split   | 数据中台的查询权限申请了两次都被拒，到底卡在哪一环了？同时问下，如果差...
  ✓ [456] rag_query            | 班车线路改了没明儿早上赶不上车咋整？
  ✓ [457] direct_answer        | A座12层茶水间那台打印机的具体位置在哪？
  ✓ [458] direct_answer        | 紧急求助，我的电脑完全无法连接公司VPN，现在急需远程处理线上故障！
  ✓ [459] multi_intent_split   | 夸克内网访问插件总报403错误，是不是DNS策略被误改了？顺便确认下4...
  ✓ [460] rag_query            | 公积金基数调整
  ✓ [461] escalate             | 那个项目共享文件夹我咋一直提示无权限访问，是不是最近做过系统迁移啊？
  ✓ [462] rag_query            | 邮箱自动回复规则配置失败，总是提示权限不足，该怎么处理？
  ✓ [463] rag_query            | 钉钉打卡补签
  ✓ [464] direct_answer        | 二楼公共办公区的彩色打印设备默认IP是多少？
  ✓ [465] rag_query            | 通义千问企业版怎么批量导入语料？
  ✓ [466] escalate             | 客服部的王芳对跨月排班调整后的考勤计算逻辑提出强烈异议，钉钉自动扣减的...
  ✓ [467] direct_answer        | 昨天凌晨三点阿里云盘同步失败，导致本地备份的2024Q3数据报表没传上...
  ✓ [468] rag_query            | 我计划明年5月1日到5月5日集中休假，需要提前多久在系统提交流程，以及...
  ✓ [469] rag_query            | 通过夸克内部版能直接查看我的年假剩余明细吗？
  ✓ [470] multi_intent_split   | 跨部门转岗的冷却期到底是三个月还是半年，这规定更新过没有？新同事入职培...
  ✓ [471] multi_intent_split   | 我刚自费通过了阿里云大数据高级认证，考试费一千二百元能走员工培训报销吗...
  ✓ [472] multi_intent_split   | 我的阿里云账号突然登不上钉钉了，能不能帮我紧急重置密码？另外下周三去深...
  ✓ [473] rag_query            | 差旅报销提交后，一般几个工作日能打到银行卡？
  ✓ [474] rag_query            | 我的账号因连续输错密码被锁定，请问如何快速走自助流程解锁？
  ✓ [475] rag_query            | 跨部门去成都出差三天，钉钉审批流程需要哪几个节点同意？
  ✓ [476] rag_query            | 五月新员工入职培训的签到环节是直接扫码还是纸质登记？
  ✓ [477] rag_query            | 我十一月初要调去成都分公司支持重点项目半年，公司会提供前两周的协议酒店...
  ✓ [478] multi_intent_split   | 电脑蓝屏开不了机IT能上门修不另外显示器能领个大的不？
  ✓ [479] escalate             | 紧急申请开通数据看板系统的数据查看权限，管理层今日需审阅指标！
  ✓ [480] rag_query            | 请问如何申请灵境代码库的合并请求权限以便合入新功能分支？
  ✓ [481] escalate             | 公司新部署的星轨ERP系统连续三天崩溃严重影响供应链发货流程，多次提交...
  ✓ [482] multi_intent_split   | 这周末临时去北京总部汇报，往返机场的公司签约专车费用能按差旅标准实报实...
  ✓ [483] rag_query            | 工牌丢失补办的流程在钉钉哪个入口能快速找到？
  ✓ [484] rag_query            | 考勤后台显示我的假期余额突然少了半天，这个扣除是按工作日还是日历日折算...
  ✓ [485] rag_query            | 应届生入职报到时，三方协议和成绩单是必须交纸质版吗？
  ✓ [486] rag_query            | 异地园区入职的员工，工牌邮寄和内部权限开通的流转周期是几个工作日？
  ✓ [487] escalate             | 就2023年12月8日研发二部员工李娜的钉钉外勤打卡记录与实际拜访轨迹...
  ✓ [488] rag_query            | 应届生三方协议解约函需要HRBP签字还是直接提交至共享服务中心，另外入...
  ✓ [489] rag_query            | 内网知识库搜报销规范出来一堆旧文件有没有最新版文档？
  ✓ [490] escalate             | 我是法务合规部赵静，因处理历史并购案卷宗需申请访问已归档的夸克企业网盘...
  ✓ [491] direct_answer        | 集团总部目前的准确办公楼层范围是几层到几层？
  ✓ [492] escalate             | 我的内网访问权限突然中断，无法连通测试环境服务器，请协助排查。
  ✓ [493] rag_query            | 年假能转结吗
  ✓ [494] rag_query            | 今年新入职的员工，去天津参加为期两天的培训，出差补贴标准是按职级P5还...
  ✓ [495] rag_query            | 我的设备连接办公网络后无法访问内部知识库，请问该如何调整网络配置？
  ✓ [496] rag_query            | 远程居家办公期间的非工作时间线上响应，是否计入加班累计时长？
  ✓ [497] rag_query            | 我下周三要调休半天参加体检，但那天正好是“天擎项目”的里程碑评审，如果...
  ✓ [498] multi_intent_split   | 钉钉文档的协作者权限怎么一直加不上，是不是集团安全策略又收紧了？顺便问...
  ✓ [499] rag_query            | 根据员工手册，我在2023年11月15日入职，到今年年底能折算出几天带...
  ✓ [500] rag_query            | 新人刚来项目赶进度，晚上加班到九点以后有打车报销或者调休额度吗？
  ✓ [501] rag_query            | 公司刚下发的《数据资产管理办法》里严禁使用外部网盘传输代码，那通义千问...
  ✓ [502] rag_query            | 早上八点半前在钉钉完成打卡算正常出勤吗？
  ✓ [503] escalate             | 针对12月5日法务部陈曦提交的知识产权年费代缴报销被驳回一事，因发票抬...
  ✓ [504] rag_query            | 明天要去滨江客户现场，外勤打卡的定位范围限制在五百米以内吗？
  ✓ [505] multi_intent_split   | 夸克网盘分享链接咋设密码还有工牌丢了补办要多久？
  ✓ [506] rag_query            | 收到录用邮件后，体检报告提交和内部账号激活的先后顺序是什么？
  ✓ [507] multi_intent_split   | 我下周通过内部活水流程去阿里云智能工作了，原业务线里没休完的六天年假能...
  ✓ [508] rag_query            | 哎，最近钉钉打卡老是定位飘到隔壁园区去了，这算缺勤吗？
  ✓ [509] multi_intent_split   | 钉钉会议插件一直加载失败，重装也没用，难道是我本地网络策略被限制了？下...
  ✓ [510] escalate             | 我上个月15号明明准时打卡了，灵犀考勤系统却显示我旷工半天扣了全勤奖，...
  ✓ [511] multi_intent_split   | 去年结转的5天调休假年底会作废吗，现在系统余额显示32小时准确吗？
  ✓ [512] rag_query            | 夸克搜索内网资料老是转圈网管那边修好了没？
  ✓ [513] rag_query            | 跨部门拉通共享文档的编辑权申请老是被打回，到底谁有最终审批权限？
  ✓ [514] escalate             | 我是客服系统运维员钱峰，灵犀工单平台在14点30分出现大规模并发请求超...
  ✓ [515] rag_query            | 公司制度里规定远程办公需要提前一天在系统报备，如果直属领导当天临时批假...
  ✓ [516] rag_query            | 我是今年9月才转正的，之前剩下的年假能跨年留着明年用吗？
  ✓ [517] multi_intent_split   | 钉钉会议链接生成不了报权限不足帮我开下呗另外预定会议室冲突了咋协调？
  ✓ [518] direct_answer        | 阿里邮箱的自动回复功能在哪里配置？
  ✓ [519] rag_query            | 下周二上午九点的入职培训会在通义会议室举办，需要提前在语雀下载资料吗？
  ✓ [520] rag_query            | 通义千问企业版知识库今天突然无法检索历史文档，报错显示“索引服务维护中...
  ✓ [521] multi_intent_split   | 下周三去杭州参加技术峰会的机票我已经订了，请问这趟行程的交通补贴是按高...
  ✓ [522] rag_query            | 阿里云账号权限申请被驳回了咋重新提项目今晚要上线急！
  ✓ [523] rag_query            | 试用期第一个月五险一金会正常扣缴吗，大概几号能在钉钉里查到明细？
  ✓ [524] rag_query            | 我是下周一入职的新产品运营林浩，请问我的阿里云主账号和钉钉工作群权限大...
  ✓ [525] escalate             | 我是新入职培训中心的吴敏，首月工资中关于试用期折算天数的计算与钉钉录用...
  ✓ [526] escalate             | 关于财务部驳回的2023年Q4市场拓展差旅费用报销单，申请人市场部周涛...
  ✓ [527] rag_query            | 餐补是发饭卡还是直接打工资卡啊？
  ✓ [528] direct_answer        | 运维部的固定工位分配在B座6层的哪个区域？
  ✓ [529] direct_answer        | 最近使用星辰系统时操作界面频繁卡顿，能否帮忙排查网络延迟问题？
  ✓ [530] escalate             | 查一下我本自然年度未休的法定年假总天数。
  ✓ [531] multi_intent_split   | 法定年假和福利年假抵扣顺序到底谁先谁后，内部系统算的跟我自己算的对不上...
  ✓ [532] escalate             | 就通义千问大模型内部知识库API调用频率异常受限一事，研发三部架构师马...
  ✓ [533] rag_query            | 跨部门转岗流程
  ✓ [534] multi_intent_split   | 我负责跟进的“北极星计划”需要接入数据中台，但申请API接口时提示业务...
  ✓ [535] escalate             | 紧急！我的工作台无法访问内网资源，今天必须完成研发数据同步！
  ✓ [536] multi_intent_split   | 帮看看差旅标准一线城市住宿上限多少顺便问下周末调休咋申请？
  ✓ [537] rag_query            | 行政部要求每天上午最晚几点完成钉钉签到？
  ✓ [538] direct_answer        | 阿里云团队的办公区在云谷园区几号楼？
  ✓ [539] rag_query            | 周末自己开车去客户现场，油费和过路费是按实报还是走固定包干标准？
  ✓ [540] escalate             | 紧急申请开通灵境协作系统的管理后台权限，项目上线在即急需配置！
  ✓ [541] multi_intent_split   | 内网访问海外业务系统延迟太高，是不是阿里云CDN节点该切换了？另外5月...
  ✓ [542] escalate             | 就2023年度年终奖发放明细中的项目分红部分存在计算基数争议一事，申请...
  ✓ [543] rag_query            | 内部活水转岗如果面试没过，原部门会不会直接降级，这规则是不是太狠了点？...
  ✓ [544] direct_answer        | 钉钉每日标准打卡时间设定为几点？
  ✓ [545] multi_intent_split   | 帮查下内网Wi-Fi密码顺便问下公司有没有提供备用充电宝？
  ✓ [546] escalate             | 服务器一直报警赶紧派个运维看看业务全挂了！
  ✓ [547] direct_answer        | 通义千问的API调用额度突然不够用了，该找哪个部门申请加急扩容？
  ✓ [548] rag_query            | 试用期内请假会不会影响最后的转正答辩，有规定说请超过三天就自动延后吗？
  ✓ [549] rag_query            | 马上要去成都驻场三个月，长期外派的补贴是按月一次性发放还是随工资按天结...
  ✓ [550] rag_query            | 我十月底正式办完离职手续，电脑和门禁卡都归还IT部了，但上个月部门聚餐...
  ✓ [551] multi_intent_split   | 我上周去杭州出差的发票弄丢了一张高铁票，财务说可以用行程单替代，但钉钉...
  ✓ [552] multi_intent_split   | 公司发的移动热点流量用超了限速，能不能临时开个企业宽带白名单？另外下周...
  ✓ [553] multi_intent_split   | 远程办公政策里规定的“核心在岗时间”到底算不算通勤路上的时间，这定义太...
  Round 2 结束 | 已有 553 条

============================================================
Round 3/6 | 并行生成 11 组查询...
  Prompt 4: 25 条
  Prompt 1: 25 条
  Prompt 2: 25 条
  Prompt 8: 25 条
  Prompt 7: 25 条
  Prompt 3: 25 条
  Prompt 5: 25 条
  Prompt 6: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 847 条
  ✓ [554] rag_query            | 紧急采购的绿色通道审批流和普通流程有什么区别？
  ✓ [555] rag_query            | 11月起新实行的差旅管理办法中，北上广深四个一线城市的每日出差津贴标准...
  ✓ [556] rag_query            | 上个月跨月出差的住宿费因为酒店开票延迟拖到这月，财务说会扣减当月额度，...
  ✓ [557] rag_query            | 请问如何在阿里邮箱客户端中正确配置企业域名以实现邮件自动同步。
  ✓ [558] rag_query            | 发票金额对不上，打回后咋改重提啊
  ✓ [559] rag_query            | 10月8日去深圳出差的线上审批流程是怎样的？
  ✓ [560] escalate             | 我是财务共享中心的刘芳，11月10号集团ERP系统升级导致我的外勤打卡...
  ✓ [561] escalate             | 我11月3号早上在浦东园区打卡，钉钉考勤显示异常，但那天是因为电梯故障...
  ✓ [562] rag_query            | 咨询申请盘古资源调度平台二级部门管理后台权限时是否需要附带项目立项证明...
  ✓ [563] rag_query            | 11月10日在苏州封闭培训五天期间由主办方统一安排餐饮，请问这种情况下...
  ✓ [564] direct_answer        | 星辰系统最近每次启动都异常缓慢，是服务器资源紧张还是建议我清理本地缓存...
  ✓ [565] multi_intent_split   | 张伟这周五办离职，他手上的阿里云子账号和钉钉管理后台权限大概几点会自动...
  ✓ [566] multi_intent_split   | 我的劳动合同12月底到期，续签意向书什么时候在钉钉发我，如果到期前我没...
  ✓ [567] rag_query            | 申请阿里云子账号的RAM权限，按制度规定主账号审批大概需要几个工作日？
  ✓ [568] rag_query            | 入职当月五险一金是从15号开始缴纳吗，我4月20号办手续不太清楚基数怎...
  ✓ [569] escalate             | 三楼小会议室空调是不是又坏了，冷得直哆嗦
  ✓ [570] rag_query            | 请问今年剩余的年假是否可以结转到明年使用？
  ✓ [571] multi_intent_split   | 新员工试用期考核制度到底有没有纸质版啊，难道全看钉钉公告吗？另外4月2...
  ✓ [572] escalate             | 正式申请：我的钉钉通讯录可见范围需扩大至跨BU高管层，因涉及季度战略对...
  ✓ [573] rag_query            | 我想请4月30号到5月4号的年假，在钉钉审批里选事假还是年假呀，有点怕...
  ✓ [574] rag_query            | 10月5日西安项目的报销流程卡在二级审批人处停滞超过一周，制度规定的系...
  ✓ [575] direct_answer        | 研发一部5月10号空余工位查询入口发我一下。
  ✓ [576] multi_intent_split   | 显示器一直闪，登记换个，另外无线鼠标驱动装不上咋弄
  ✓ [577] rag_query            | 杭州飞深圳的机票能走阿里商旅直接订吗？
  ✓ [578] rag_query            | 补充医疗报销比例是啥来着
  ✓ [579] rag_query            | 临时访客卡在钉钉哪个模块申请，5月10号接待客户用？
  ✓ [580] rag_query            | 请问开通通义千问企业版新系统的全员使用权限需要提交哪些审批材料。
  ✓ [581] rag_query            | 5月份垫付的广州展会搭建费报销流程已显示终审，内部打款时效规定是多久？
  ✓ [582] escalate             | 投诉！夸克企业版网盘同步功能连续三天失败，我负责的跨国项目文件全部卡在...
  ✓ [583] rag_query            | 工牌丢了怎么补办？
  ✓ [584] rag_query            | 新员工报到当天的IT设备领取流程是怎样的？
  ✓ [585] rag_query            | 我昨晚在园区加班到凌晨一点，钉钉加班审批还没通过，这种情况下我直接用钉...
  ✓ [586] rag_query            | 12月5日去拉萨出差两周执行高海拔数据采集任务，请问差旅制度对西藏地区...
  ✓ [587] rag_query            | 杭州研发中心的标准下班时间是不是固定为十八点整？
  ✓ [588] rag_query            | 我计划在11月12日以P6级别前往上海出差三天，请问公司差旅制度中规定...
  ✓ [589] multi_intent_split   | 钉盘共享文件夹突然无法同步，顺便问下新来的实习生怎么开通语雀企业版权限...
  ✓ [590] rag_query            | 新员工首次登录需要开通语雀内网知识库的访问权限，请问标准申请入口在哪。
  ✓ [591] multi_intent_split   | 真是无语，去青岛出差的机票行程单非要等4月30号后才能打印，这时效能赶...
  ✓ [592] escalate             | 跨部门项目合作需要申请阿里云盘企业版指定文件夹的数据查看权限。
  ✓ [593] rag_query            | 8月20日深圳出差的报销单被退回三次都提示附件缺失，请问最新报销指引中...
  ✓ [594] rag_query            | 夸克搜内部政策老跳404，新链接有吗
  ✓ [595] rag_query            | 11月18日周末在杭州紧急出差产生的差旅津贴，政策是按自然日计算还是按...
  ✓ [596] rag_query            | 11月3日成都提交的3500元差旅报销已卡在支付节点七天，财务付款的标...
  ✓ [597] multi_intent_split   | 我下个月要去上海分公司报到，那边的差旅标准是不是跟总部一样，另外入职大...
  ✓ [598] escalate             | 紧急求助：我是算法研发部的陈默，昨晚参与通宵压测导致早上忘记在钉钉提交...
  ✓ [599] escalate             | 紧急请求，我的电脑在外地完全无法连接公司内网VPN，请协助重置客户端配...
  ✓ [600] rag_query            | 5月15号婚假10天申请需要提前几天走钉钉流程？
  ✓ [601] direct_answer        | 打车票贴好了，报销流程卡主管那儿咋整
  ✓ [602] multi_intent_split   | 外包人员转正的绩效评估标准到底怎么定的，难道只看钉钉打卡记录吗？另外成...
  ✓ [603] rag_query            | 麻烦在云枢系统解答一下公司最新的弹性工作制适用范围，杭州余杭园区的实习...
  ✓ [604] rag_query            | 加班换的调休要是半年内没用完，按规定会自动作废吗？
  ✓ [605] rag_query            | 入职五险一金是当月缴还是次月缴，我4月22号签合同不太清楚具体起算时间...
  ✓ [606] rag_query            | 差旅补贴是按天还是按实际高铁票报销？另外餐补发票丢了还能补吗？
  ✓ [607] direct_answer        | 财务部旁边的黑白打印机具体在走廊哪个位置？
  ✓ [608] rag_query            | 我于上月15日在杭州出差期间垫付了团队餐费共计6000元，发票已上传钉...
  ✓ [609] multi_intent_split   | 我下周代表部门参加行业峰会，请问对外使用的名片模板能不能在钉钉设计库里...
  ✓ [610] escalate             | 我的打车报销单因行程起点与钉钉办公地点不符被拦截，但当天我是从客户现场...
  ✓ [611] multi_intent_split   | 财务系统每次升级都要重新配审批流，这兼容性太差了吧！顺便问下我的夸克企...
  ✓ [612] multi_intent_split   | 公司派我去新加坡参加阿里云栖大会，护照签证材料提交给行政后大概多久能拿...
  ✓ [613] escalate             | 宜搭审批流卡死
  ✓ [614] rag_query            | 离职交接时我把个人网盘文件全删了，法务说审计要求保留原始版本三个月，能...
  ✓ [615] rag_query            | 权限审批单在二级节点滞留，根据内部合规要求最长允许停留几天？
  ✓ [616] rag_query            | 业务招待费的报销需要提供哪些凭证，单次最高能报多少？
  ✓ [617] rag_query            | 李娜主管已经批了我12月去深圳的出差申请，请问公司协议酒店的预订必须通...
  ✓ [618] multi_intent_split   | 钉钉考勤打卡总显示GPS定位不准，另外我想申请一台新的测试电脑，流程怎...
  ✓ [619] multi_intent_split   | 本月部门招待客户的礼品采购预算还剩多少，另外上次报销的800元快递费如...
  ✓ [620] multi_intent_split   | 我需要申请一台新的高性能设计工作站跑渲染软件，另外我和供应商签的那份5...
  ✓ [621] rag_query            | 请问从北京南站打车前往首都机场T3航站楼，单次费用超过200元时，公司...
  ✓ [622] direct_answer        | 公司总部B座收发室具体设在第几层？
  ✓ [623] escalate             | 我是前端开发组赵敏，钉钉开放平台接口调用频次突增导致服务熔断，已触发三...
  ✓ [624] rag_query            | 那个权限申请一直批不下来，到底要哪个领导签字啊？
  ✓ [625] direct_answer        | 15楼公共文印区的主打印机IP地址是多少？
  ✓ [626] multi_intent_split   | 难道每次去重庆江北机场接机的2000元包车费都要手动在钉钉审批里备注行...
  ✓ [627] escalate             | 阿里云服务器续费失败
  ✓ [628] multi_intent_split   | 阿里云账单对不上，发票申请入口在哪？另外企业采购合同审批到哪一步了？
  ✓ [629] escalate             | 新成立的创新业务线申请批量开通阿里内外员工门户的新系统访问入口。
  ✓ [630] rag_query            | 出差住酒店超了每天600的标准，超额部分能自己贴钱然后正常走流程吗？
  ✓ [631] multi_intent_split   | 我昨天忘打卡了怎么补卡啊，顺便帮我看下连接阿里智能办公设备的驱动去哪下...
  ✓ [632] escalate             | 紧急故障升级：我的阿里云效流水线卡在代码构建环节已超过4小时，错误日志...
  ✓ [633] rag_query            | 依据《员工行为规范》，使用钉钉传输加密文件是否有特殊的审批流程？
  ✓ [634] rag_query            | 工牌丢了补办要等3个工作日吗，我5月20号要参加重要会议怕赶不上？
  ✓ [635] rag_query            | 异地入职的员工体检费用能不能在入职后按内部福利制度补报销？
  ✓ [636] escalate             | 桌面文件全丢了，通义能远程看下不
  ✓ [637] rag_query            | 请问今年的年假如果没休完，可以自动顺延到明年一季度吗？
  ✓ [638] rag_query            | 我的阿里郎账号因多次密码错误被系统锁定，请问自助解锁的具体操作步骤。
  ✓ [639] direct_answer        | 行政领笔记本链接发我下呗，急用
  ✓ [640] rag_query            | Q3绩效评分已锁定，但我发现瓴羊BI看板里我的项目贡献值少算了两个，能...
  ✓ [641] multi_intent_split   | 我的年度体检预约卡在待确认状态，能查下合作医院名单吗？另外家属补充医疗...
  ✓ [642] rag_query            | 我5月6号报到，座位是提前分好的还是当天自己找呀，不确定能不能跟业务线...
  ✓ [643] escalate             | 正式异议申诉：我是华南销售总监王强，本月薪资中未体现跨区调动的异地补贴...
  ✓ [644] rag_query            | 3楼公共办公区备用网络端口的默认密码是多少？
  ✓ [645] direct_answer        | 更换办公网络后公司专用VPN客户端总是报证书错误，请问如何重新安装根证...
  ✓ [646] escalate             | 线上故障急需申请核心业务代码托管库的合并权限以便立即修复。
  ✓ [647] escalate             | 阿里邮箱将重要客户来信误判为垃圾邮件，请求立即调整发信人白名单策略。
  ✓ [648] direct_answer        | 钉钉会议录制找不到
  ✓ [649] multi_intent_split   | 云效流水线跑半截断了咋恢复，另外加个测试机内存配额
  ✓ [650] multi_intent_split   | 上个月垫付的2500元团建餐费发票已经提交审批了，另外我想查一下Q3的...
  ✓ [651] rag_query            | 明天飞三亚执行客户交付，最新员工手册里P5职级的每日差旅包干补贴金额是...
  ✓ [652] escalate             | 投诉！我是华北区销售部的赵明，上周三连续三天钉钉定位打卡被系统判定为异...
  ✓ [653] escalate             | 我的阿里云盘突然登不上了，显示网络超时，能帮忙看看是不是IP被限制了吗...
  ✓ [654] multi_intent_split   | 我想申请搬到杭州园区A栋靠窗的工位，审批流程走完后大概几天能搬，顺便问...
  ✓ [655] rag_query            | 那个没休完的假能带进下一年不？
  ✓ [656] escalate             | 瓴羊平台管理后台的操作权限突然失效，请立刻恢复以免影响日常系统巡检。
  ✓ [657] rag_query            | 账号密码重置服务目前提示系统维护中，请问预计恢复开放的具体时间。
